English,Telugu
Agriculture Glossary (English),వ్యవసాయ పదకోశం (ఆంగ్లం)
Source glossary for English fi Telugu SLM-based translation pipeline,తెలుగు తెలుగు ఎస్ఎల్ఎం ఆధారిత అనువాద పైప్లైన్ కోసం మూలం పదకోశం
Irrigation,నీటిపారుదల
"The controlled application of water to crops through artificial means such as canals, sprinklers, or drip","కాలువలు, స్ప్రింక్లర్లు లేదా బిందు వంటి కృత్రిమ మార్గాల ద్వారా పంటలకు నీటిని నియంత్రితంగా ఉపయోగించడం."
systems.,వ్యవస్థలు.
Crop Rotation,పంట రొటేషన్
The practice of growing different types of crops in the same area across sequential seasons to,ఒకే ప్రాంతంలో వరుస సీజన్లలో వివిధ రకాల పంటలను పండించే పద్ధతి
maintain soil fertility.,నేల యొక్క సంతానోత్పత్తిని నిర్వహించండి.
Fertilizer,ఎరువులు
"A substance added to soil to supply nutrients such as nitrogen, phosphorus, and potassium needed","అవసరమైన నత్రజని, భాస్వరం మరియు పొటాషియం వంటి పోషకాలను సరఫరా చేయడానికి మట్టికి జోడించిన పదార్ధం"
for plant growth.,మొక్కల పెరుగుదల కోసం.
Pesticide,పురుగుమందులు
"A chemical or biological agent used to deter, incapacitate, kill, or otherwise discourage pests that","తెగుళ్ళను నిరోధించడానికి, అసమర్థపరచడానికి, చంపడానికి లేదా నిరుత్సాహపరచడానికి ఉపయోగించే రసాయన లేదా జీవ ఏజెంట్"
damage crops.,పంటలను దెబ్బతీస్తుంది.
Soil Erosion,నేల కోత
"The gradual wearing away and loss of the topsoil layer caused by wind, water, or poor land","గాలి, నీరు లేదా పేలవమైన భూమి కారణంగా ఎగువ మట్టి పొర క్రమంగా క్షీణించడం మరియు కోల్పోవడం"
management.,నిర్వహణ.
Harvest,పంటకోత
The process of gathering mature crops from the fields at the end of a growing season.,పెరుగుతున్న కాలం ముగింపులో పొలాల నుండి పండిన పంటలను సేకరించే ప్రక్రియ.
Yield,దిగుబడి
"The quantity of agricultural produce obtained per unit area of land, often measured in kilograms or","భూమి యొక్క ప్రతి యూనిట్ వైశాల్యానికి పొందిన వ్యవసాయ ఉత్పత్తుల పరిమాణం, తరచుగా కిలోగ్రాములలో కొలుస్తారు లేదా"
tonnes per hectare.,హెక్టారుకు టన్నులు.
Agroforestry,అగ్రోఫారెస్ట్రీ
A land-use system that integrates trees and shrubs with crops or livestock on the same piece of land.,ఒకే భూభాగంలో చెట్లు మరియు పొదలను పంటలు లేదా పశువులతో అనుసంధానించే భూ-వినియోగ వ్యవస్థ.
Drip Irrigation,చుక్కల నీటిపారుదల
A micro-irrigation method that delivers water directly to plant roots through a network of tubes and,గొట్టాల నెట్వర్క్ ద్వారా నేరుగా మొక్కల మూలాలకు నీటిని అందించే సూక్ష్మ నీటిపారుదల పద్ధతి
emitters.,విడుదల చేసేవారు.
Organic Farming,సేంద్రీయ వ్యవసాయం
"A method of crop and livestock production that avoids synthetic fertilizers, pesticides, and genetically","కృత్రిమ ఎరువులు, పురుగుమందులు మరియు జన్యుపరంగా నివారించే పంట మరియు పశువుల ఉత్పత్తి పద్ధతి"
modified organisms.,సవరించిన జీవులు.
Monoculture,మోనోకల్చర్
The agricultural practice of growing a single crop species over a wide area for consecutive seasons.,ఒకే పంట జాతిని విస్తృత విస్తీర్ణంలో వరుసగా సీజన్లలో పండించే వ్యవసాయ పద్ధతి.
Sowing,విత్తనాలు వేయడం
The process of planting seeds in soil to begin the growth cycle of a crop.,పంట పెరుగుదల చక్రాన్ని ప్రారంభించడానికి మట్టిలో విత్తనాలను నాటడం ప్రక్రియ.
